pattern,quality,pattern_delta,support,class_balance,p_value,corrected_p,is_sig
[{'11808'}],0.9206653924386657,0.6150972229227716,67,"{1.0: 51, 0.0: 16}",0.000999000999000999,0.001611291933872579,True
"[{'1044'}, {'22571'}]",0.8367651417045269,0.6321099428153585,135,"{1.0: 118, 0.0: 17}",0.000999000999000999,0.001611291933872579,True
"[{'6101'}, {'2075'}]",0.7763981986429123,0.5441497789865191,71,"{1.0: 55, 0.0: 16}",0.000999000999000999,0.001611291933872579,True
[{'15667'}],0.7656210113875497,0.4651661651829879,66,"{1.0: 48, 0.0: 18}",0.000999000999000999,0.001611291933872579,True
[{'9951'}],0.7603868554190817,0.5081947006172303,82,"{1.0: 66, 0.0: 16}",0.000999000999000999,0.001611291933872579,True
[{'4689'}],0.6620356766466245,0.5499908042450746,63,"{1.0: 48, 0.0: 15}",0.000999000999000999,0.001611291933872579,True
[{'16939'}],0.5728088585342055,0.490200184607828,146,"{1.0: 111, 0.0: 35}",0.000999000999000999,0.001611291933872579,True
[{'19424'}],0.5551771739163895,0.5539295471849897,85,"{1.0: 70, 0.0: 15}",0.000999000999000999,0.001611291933872579,True
[{'22889'}],0.5189417193148106,0.4506446458399296,63,"{1.0: 45, 0.0: 18}",0.000999000999000999,0.001611291933872579,True
[{'10021'}],0.4991485468765969,0.4078685944059901,65,"{0.0: 17, 1.0: 48}",0.000999000999000999,0.001611291933872579,True
[{'9040'}],0.4746488284654591,0.3955259767016829,265,"{1.0: 189, 0.0: 76}",0.000999000999000999,0.001611291933872579,True
"[{'3021'}, {'7207'}]",0.43617425921201514,0.4096242806149854,96,"{1.0: 72, 0.0: 24}",0.000999000999000999,0.001611291933872579,True
"[{'3348'}, {'2007'}]",0.41964367179671663,0.432804225302162,73,"{1.0: 62, 0.0: 11}",1.0,1.0,False
"[{'1037'}, {'2317'}]",0.40704759834745013,0.362344395617644,78,"{1.0: 48, 0.0: 30}",0.000999000999000999,0.001611291933872579,True
[{'5223'}],0.39623949515557527,0.38129927073965963,201,"{1.0: 135, 0.0: 66}",0.000999000999000999,0.001611291933872579,True
[{'5637'}],0.3925231650832562,0.3926368601845973,208,"{1.0: 154, 0.0: 54}",0.000999000999000999,0.001611291933872579,True
[{'2886'}],0.35499858842299864,0.3093271220051853,68,"{1.0: 39, 0.0: 29}",0.000999000999000999,0.001611291933872579,True
"[{'1037'}, {'2304'}]",0.3322718692527259,0.3005143074592572,67,"{1.0: 46, 0.0: 21}",0.000999000999000999,0.001611291933872579,True
"[{'5637'}, {'2015'}]",0.31748910977578815,0.4130317186665647,86,"{1.0: 71, 0.0: 15}",0.000999000999000999,0.001611291933872579,True
"[{'2317'}, {'1012'}]",0.30758367153834304,0.3451427090519395,89,"{1.0: 58, 0.0: 31}",0.000999000999000999,0.001611291933872579,True
[{'6101'}],0.30161408011080587,0.33829340318430345,234,"{0.0: 77, 1.0: 157}",0.000999000999000999,0.001611291933872579,True
[{'2304'}],0.2889958919956114,0.30723969318874345,233,"{0.0: 67, 1.0: 166}",0.000999000999000999,0.001611291933872579,True
"[{'15707'}, {'26942'}]",0.25924034521445133,0.3502600216692737,110,"{0.0: 31, 1.0: 79}",0.000999000999000999,0.001611291933872579,True
"[{'2066'}, {'2017'}]",0.2573823166061176,0.30015403061868656,60,"{1.0: 42, 0.0: 18}",0.000999000999000999,0.001611291933872579,True
[{'2317'}],0.24694930003696366,0.30564813517749323,458,"{1.0: 324, 0.0: 134}",0.000999000999000999,0.001611291933872579,True
"[{'2138'}, {'2002'}]",0.23711512611109417,0.2919778244533846,87,"{1.0: 62, 0.0: 25}",0.000999000999000999,0.001611291933872579,True
"[{'2075'}, {'2308'}]",0.22598671533008832,0.37634498020588714,105,"{1.0: 79, 0.0: 26}",0.000999000999000999,0.001611291933872579,True
"[{'1010'}, {'8398'}]",0.22446285579938868,0.3084166148254225,91,"{0.0: 37, 1.0: 54}",0.000999000999000999,0.001611291933872579,True
"[{'8398'}, {'2038'}]",0.21748613002510034,0.3098486344601107,68,"{1.0: 49, 0.0: 19}",0.000999000999000999,0.001611291933872579,True
[{'3021'}],0.2133841095586755,0.2817890643743992,200,"{1.0: 127, 0.0: 73}",0.000999000999000999,0.001611291933872579,True
"[{'4424'}, {'6101'}]",0.21135823505435608,0.23562874243415863,112,"{0.0: 41, 1.0: 71}",0.000999000999000999,0.001611291933872579,True
[{'1008'}],0.21077695720110268,0.35883182016950027,98,"{1.0: 68, 0.0: 30}",0.001998001998001998,0.0028956550695681134,True
"[{'2016'}, {'2003'}, {'1037'}]",0.20825660383081768,0.3063333667038629,80,"{0.0: 32, 1.0: 48}",0.000999000999000999,0.001611291933872579,True
[{'17183'}],0.20455045045307363,0.2517532058722443,61,"{1.0: 36, 0.0: 25}",0.000999000999000999,0.001611291933872579,True
"[{'1996'}, {'2277'}]",0.19729189684745876,0.19072652323800188,151,"{0.0: 106, 1.0: 45}",0.000999000999000999,0.001611291933872579,True
"[{'8398'}, {'2003'}]",0.1964535361820211,0.31897609047666575,158,"{0.0: 37, 1.0: 121}",0.000999000999000999,0.001611291933872579,True
"[{'8991'}, {'18400'}]",0.1944830878521847,0.2973412527487828,85,"{0.0: 20, 1.0: 65}",0.000999000999000999,0.001611291933872579,True
"[{'2002'}, {'1005'}, {'1055'}]",0.19111544632878485,0.28038037301480834,138,"{1.0: 83, 0.0: 55}",0.000999000999000999,0.001611291933872579,True
"[{'8398'}, {'1005'}]",0.19050772573640268,0.2621792193163525,143,"{0.0: 55, 1.0: 88}",0.000999000999000999,0.001611291933872579,True
[{'4126'}],0.18837056008595263,0.222060177716959,113,"{0.0: 46, 1.0: 67}",0.000999000999000999,0.001611291933872579,True
"[{'2061'}, {'2017'}]",0.18758859736076353,0.26137908301571716,85,"{1.0: 47, 0.0: 38}",0.000999000999000999,0.001611291933872579,True
"[{'1010'}, {'1996'}, {'1010'}]",0.18562475734470116,0.1597653517789311,61,"{0.0: 36, 1.0: 25}",0.000999000999000999,0.001611291933872579,True
"[{'1998'}, {'2010'}]",0.18537053862777028,0.258857910707475,118,"{0.0: 41, 1.0: 77}",0.000999000999000999,0.001611291933872579,True
"[{'1996'}, {'3124'}]",0.18352967658121466,0.26336761515232776,66,"{1.0: 42, 0.0: 24}",0.001998001998001998,0.0028956550695681134,True
"[{'4424'}, {'1012'}]",0.18249087311298695,0.20082918269610978,72,"{1.0: 49, 0.0: 23}",0.002997002997002997,0.003943424996056575,True
"[{'3348'}, {'1012'}]",0.18141250446591103,0.20693781387187746,91,"{1.0: 57, 0.0: 34}",0.000999000999000999,0.001611291933872579,True
[{'6905'}],0.18137685088388414,0.22538708613206035,167,"{1.0: 96, 0.0: 71}",0.000999000999000999,0.001611291933872579,True
"[{'8398'}, {'1012'}]",0.1806288475556549,0.25891136330314524,139,"{0.0: 55, 1.0: 84}",0.000999000999000999,0.001611291933872579,True
[{'5667'}],0.1801747770708569,0.2590957156875554,68,"{0.0: 34, 1.0: 34}",0.002997002997002997,0.003943424996056575,True
[{'3993'}],0.1769106226507861,0.2068203603905259,118,"{1.0: 63, 0.0: 55}",0.000999000999000999,0.001611291933872579,True
[{'18520'}],0.17648649967620908,0.2583421744598975,301,"{0.0: 100, 1.0: 201}",0.000999000999000999,0.001611291933872579,True
"[{'2016'}, {'1005'}, {'1055'}]",0.17612249229085486,0.22218841460164426,101,"{1.0: 53, 0.0: 48}",0.000999000999000999,0.001611291933872579,True
"[{'2024'}, {'2074'}]",0.17469894984699083,0.2089016718324274,72,"{0.0: 32, 1.0: 40}",0.003996003996003996,0.005058232906334172,True
"[{'5444'}, {'2005'}]",0.1746027572307316,0.2535671656650882,91,"{1.0: 62, 0.0: 29}",0.000999000999000999,0.001611291933872579,True
"[{'2031'}, {'2017'}]",0.17437401497551722,0.25544161298151674,63,"{1.0: 34, 0.0: 29}",0.007992007992007992,0.00888000888000888,True
[{'2730'}],0.17427507128923214,0.23139691393336526,110,"{1.0: 64, 0.0: 46}",0.001998001998001998,0.0028956550695681134,True
"[{'2075'}, {'1012'}]",0.1741849367377567,0.24830593708236118,95,"{1.0: 59, 0.0: 36}",0.000999000999000999,0.001611291933872579,True
"[{'3789'}, {'2005'}]",0.17326859571660158,0.23907730636037575,102,"{1.0: 61, 0.0: 41}",0.002997002997002997,0.003943424996056575,True
"[{'6221'}, {'8398'}]",0.1730422777540804,0.24427327196327236,80,"{1.0: 51, 0.0: 29}",0.002997002997002997,0.003943424996056575,True
"[{'2068'}, {'1996'}]",0.17262119213198754,0.2231077231723359,81,"{1.0: 49, 0.0: 32}",0.001998001998001998,0.0028956550695681134,True
[{'8398'}],0.17223004721155133,0.2480735069848244,900,"{1.0: 604, 0.0: 296}",0.000999000999000999,0.001611291933872579,True
